id,文本,类别
758,有的对，但日本妹子打游戏也会骂人的，只是日语骂人没那么冲罢了。收礼物也就ありがとう，差不了太多，,种族歧视
759,，。。，清理男权女权思想垃圾，让男女彼此相爱吧!,微侵犯(MA)
760,反对中国共产党,政治敏感
761,你怎么就知道一般是河南了？地域黑真恶心！！！动不动就地域黑的狗比见死不救的村民强不到哪里去！！！,地域歧视
762,视频中的情况太夸张了，但警察判断存在很大柔性空间是真的，对待白人可能看到武器，并处在很危险的情况下才会开枪，对待黑人就会像视频中那样，稍有风险就开枪。说到底是信任度太低了。,种族歧视
763,我觉得老兄你理解有偏差，他在叙述黑人悲惨遭遇是历史上由白人造成的，并不能理解为黑人犯罪有理啊，白人赎罪论哪里他也没有表示赞同，只是中立（甚至语气有些调侃）。资本问题后面反屠龙术竖切社会那一期讲到了。,种族歧视
764,Emmm我现在真滴觉得直男好了，那些骂着女的要这要那要彩礼的男的就是想打着平等来压榨女人。算计的比谁都厉害。还表面装的风轻云淡受委屈了。他们说的一个标点符号都不能信。,微侵犯(MA)
765,明治也有这么恶心事么。庆应恶心的全是台湾人。,地域歧视
766,"以史为鉴:IBM与纳粹-新-品葱
…. 王八蛋思想.“有钱不赚王八蛋”还是“帮纳粹杀人王八蛋”? 你得明白最简单的人类黑白。帮助纳粹杀人的没什么好东西，就像帮助中共杀人的中国左左一样，都是手染受害者 …",犯罪
767,我讨厌黑人，支持奴隶制。看这种骗子就难受,种族歧视
768,欧洲极品性交图片,色情
769,免费meimei黄色淫乱,色情
770,有些男人真是恶心，说不过别人就扣帽子，非得女人承认自己是花痴是拜金才行。,微侵犯(MA)
771,万邦来朝,政治敏感
772,党匪,政治敏感
773,likeqiang,政治敏感
774,我大力支持所有屌子们反抗压迫站起来 拿出你们的勇气来反婚反育 不要再盯着女性的资源和子宫身体了 想要孩子自己去用泥巴捏一个吧,微侵犯(MA)
775,首先我是个女生，但我觉得好多女生真的是在当时是自愿的，后来因为其他原因关系破裂之后就说是强奸。,微侵犯(MA)
776,独立中文笔会,政治敏感
777,吴耳凯西,政治敏感
778,问一下答主，是那边的黑人都这么横还是觉得华人好欺负啊。如果是白人会不会被抢劫呢,种族歧视
779,"我有房有车有存款，房不止一套，车不止一辆，存款也是你一辈子搬砖都赚不到的数额，我是人，不是你这种死了都被嫌污染的韭菜，我猜猜看，你是30几的丑屌丝吧，金针菇早泄，身高160，乡下人，做过舔狗，月薪2000，那是要千万担心自己被割，总共仨瓜俩枣的，再被割一波，要脆弱地去跳江了,你是你，我是我，别人是别人，不要把别人同自己捆绑在一起，你是韭菜只代表你自己的处境，这么不满现状就在现实中突破自己的韭菜处境。,再加一条，单身生育合法，单身生育的女性思想成熟且有经济能力，她们只会选择国外的优质精子，而非中国的劣精，并且在国外可以人为选择胎儿的性别。还有，你自己是韭菜就先担心你自己能不能活下去，别操心太多。,所以想生育的女性只生女孩就好了，母系社会不要太幸福",基于文化背景的刻板印象(SCB)
780,毛派*,政治敏感
781,六四*,政治敏感
782,舔屄,色情
783,高估可不就是算不得好么，平均水平还要吹神就是高估。说真的因为大家对台湾演员要求真低，矮子里面拔高个，所以衬得他很突出。但是他的资源相对于他的演技名不副实，他的资源比邓超还要好，可是演技跟邓超能比吗？,地域歧视
784,毛妹妹淫色,色情
785,看不起黑人因为他们没有建立起自己的文明。,种族歧视
786,关于那个中国人不反抗种族歧视的问题，我认为是中国人长久以来的交往习惯，不愿意非常激烈的态度去对待，如果是我遇到这样的问题，我可能会说几句很冷的反驳的话然后自己走开，我所认为的事情中有一样就是公开大声与人吵架很没教养，可能这是我个人的想法,种族歧视
787,怕不是你才是混子吧？美国黑人牛逼，是因为他们经过之前奴隶主“人工筛选”过，弱的都淘汰了。你敢不敢去非洲找找各种不同的黑种人啊！搞笑的要死。,种族歧视
788,嫂嫂的穴,色情
789,印度人有体味的，很可怕啊！他空气污染的区域占小半个健身房，大家躲着练，而且他用过的器械都散发很久味道…… 但有的印度人就完全没味道，。,种族歧视
790,杀人的警察,政治敏感
791,这些作梦的人也像他们污秽身体，轻慢主治的，毁谤在尊位的。,微侵犯(MA)
792,江贼民,政治敏感
793,什么时候田园女权少了，女权发展应该就好了。,基于文化背景的刻板印象(SCB)
794,"很多群体的定义，河南人偷井盖，东北人666,广东人吃宇宙，女人不会数理化，中国人素质差。不要站到大众的阴影里，也不要为其他有这种想法的人辩解，你明知光亮所在方向。",地域歧视
795,hardcore,色情
796,李瑞环,政治敏感
797,温逼,色情
798,不是上海那种，上海很多是自以为了得，拜金而已，台湾是从上到下的敌视，而且敌视咱们这边的人数量远大于上海歧视外地人的数量，上海人是歧视素质低，不礼貌，工资低，没学历的人，和世界上大部分人一样，台湾有不少人则是全部仇视加歧视从大到政策到小到底层老百姓,地域歧视
799,操逼,色情
800,我就说了下重庆人普遍比较不讲普通话这事，一群不明事理的重庆人就跳出来对我各种人身地域攻击，报团取暖群起而攻之，您睁大眼睛看清楚咯，到底谁在地域黑？？！颠倒是非黑白挺爽的，是吧您？？,地域歧视
801,朱容鸡,政治敏感
802,不喜欢河南为什么要在这待着，你这句话明显就是地域黑？,地域歧视
803,根据上海人在上海说上海话就是排外这一定理，那么四川人在四川说四川话就是排外。没有问题！,地域歧视
804,中华淫民,政治敏感
805,不讨厌黑人或同性恋，但……很多黑人嚣张无脑，又动不动撕逼的个性我实在是不喜欢……就不能多出几个Earl类的选手吗？很多同性恋又娘又骚实在让人觉得恶心……就不能多些有男子气概的吗……,种族歧视
806,电话监,政治敏感
807,你这个说事实就像说河南人偷井盖一样,地域歧视
808,同款室友了，我原来那个广州的室友说内地落后，她考到我们这儿来别人都鄙视她好伤心。瞧不起拿国家补助的同学，故意问别人家里有没有水晶吊灯。和另外一个广东人说粤语，别人问她说的啥她永远一脸鄙视说我说了你也听不懂。,地域歧视
809,豪门浪荡史,色情
810,至于法轮功系的媒体，看看爆料就可以，什么天灭中共喊了几十年到现在中共也没有灭亡，就只是打鸡血，打打嘴炮而已。不过三退还是需要做，给自己一个交待吧。,犯罪
811,昆汀性骚扰有没有不知道。。但他肯定要求舔过各种女演员的脚,微侵犯(MA)
812,床上自拍,色情
813,e夜激情,色情
814,黄宇逸,政治敏感
815,用穆斯林的说法就是：部分河南人是骗子，部分湖南人是鸡，部分东北人是黑社会。,地域歧视
816,骚女,色情
817,法棆功,政治敏感
818,虽然没接触过，但从网上各种信息来看，最该被歧视的就是黑人,种族歧视
819,吉炳轩,政治敏感
820,说艳门男女爽,色情
821,就不要祸害中国女性了，烂裤裆,种族歧视
822,俄罗斯不是排华，是直接排外，他们非常讨厌中亚过来的人，对中国人态度不好，但是都知道，人家就是来着玩的。玩完就走了，谁还很钱有仇，也因为如此，,种族歧视
823,"在法律层面：《中华人民共和国刑法》第二百三十六条,：“第二百三十六条,强奸罪以暴力、胁迫或者其他手段强奸妇女的，处三年以上十年以下有期徒刑。,奸淫不满十四周岁的幼女的，以强奸论，从重处罚。,强奸妇女、奸淫幼女，",犯罪
824,男的搞女拳，这就是舔狗啊，无所不舔,微侵犯(MA)
825,tiananmenshijian,政治敏感
826,和少数名族接触过，就自动联系到黑人了，说着没有调查就没有发言权，你也没调查啊。你想想穷的国家那么多，落后的国家那么多，为什么独独歧视黑人，还是全世界一起歧视，是他们的问题还是我们的问题,种族歧视
827,翻版李小撸肚皮纹身带上使劲来,色情
828,推特上关注哪些账号可以看到更多福利？,犯罪
829,"“黑人的命也是命”，单看这话没毛病。但是黑命贵们反对all,lives,微侵犯(MA)tter,black,lives,微侵犯(MA)tter,就有毛病了。当黑命贵成为“排他性命贵”，黑命贵就成了种族主义。警察的命也是命啊，",种族歧视
830,黑人怎么就不能是全球最高智商了 你是不是歧视黑人 黑人是世界上最优秀的种族,种族歧视
831,北京人偷井盖？,地域歧视
832,马飚,政治敏感
833,使用伪造证券进行诈骗的法律后果是什么？,犯罪
834,这不是废话吗 西北有些地方钩子还是指的股沟呢 操这个字基本也是新中国过后禁了【肏】才被拉出来的 台湾人都没有用这个字骂人的习惯 而且你以为操蛋这个词是是全国都知道的吗？香港人都不知道歇菜的意思,地域歧视
835,血洗京城,政治敏感
836,八九学运领袖,政治敏感
837,这个恕我不敢苟同。有的人天生就喜欢把自己刻画的高人一等，就像曾经的白人认为生来就比黑人和黄种人高贵，智商高，然并卵。,种族歧视
838,"哈哈哈哈哈，女人必须结婚，还不许要保证,又骂女人结婚占他们便宜，又见到不婚女就跳脚，也太自相矛盾了叭",微侵犯(MA)
839,a级情片*,色情
840,就是一群强盗思维诞生出的文化体系，基督教就是很明显的为其罪行放赎罪卷的精神吗啡。北欧维京后裔，四处移民，抢劫。莱克星顿的枪声，孰不知人家国旗是东印度公司的旗子。,种族歧视
841,把心放大一点，还有黑人同胞接受不了义务教育,种族歧视
842,她们就是墙头草哇，一群蚊子拿着吸管到处找血吸,微侵犯(MA)
843,批准邓贵大,政治敏感
844,嫖客,色情
845,江氏*,政治敏感
846,李继耐*,政治敏感
847,利用内幕信息进行交易是否安全？,犯罪
848,"郑州两村庄汉人回民冲突平息(04年11月3日)-2004-11-04
2004年11月4日 - 这次暴力冲突事件是由一个汉族村民与一位回民因为一起交通争端而引起的，最后导致两村村民发生械斗。目前还不清楚引发大规模暴乱的根本原因。当地一位老师..",犯罪
849,营销号挑起战争，大骂男性，拒绝婚姻，反手一个结婚，婚后生活幸福美满，留下这边被骗的女性，大骂男性，要不是看朋友圈520这么多领证的，我还以为中国进入不婚时代了。说绝对不结婚女性以后要是结婚了，就骂死这些人，留下一堆未成年的女孩还在这痛恨男性,种族歧视
